Device,Test Name,Test Status,Message(s),Test description,Test category
SF-SOMA-Leaf-3A,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
SF-SOMA-Leaf-3A,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:37:21 SF-SOMA-Leaf-3A ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1431) -- Master ProcMgr (PID=1431) exiting.
 Dec 18 12:37:22 SF-SOMA-Leaf-3A Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1849) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Dec 18 12:37:22 SF-SOMA-Leaf-3A Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1849))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
SF-SOMA-Leaf-3A,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
SF-SOMA-Leaf-3A,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
SF-SOMA-Leaf-3A,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
SF-SOMA-Leaf-3A,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
SF-SOMA-Leaf-3A,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
SF-SOMA-Leaf-3A,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
SF-SOMA-Leaf-3A,VerifyCoredump,success,,Verifies there are no core dump files.,System
SF-SOMA-Leaf-3A,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
SF-SOMA-Leaf-3A,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
SF-SOMA-Leaf-3A,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
SF-SOMA-Leaf-3A,VerifyNTP,success,,Verifies if NTP is synchronised.,System
SF-SOMA-Leaf-3A,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
SF-SOMA-Leaf-3B,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
SF-SOMA-Leaf-3B,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
SF-SOMA-Leaf-3B,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
SF-SOMA-Leaf-3B,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
SF-SOMA-Leaf-3B,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
SF-SOMA-Leaf-3B,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
SF-SOMA-Leaf-3B,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
SF-SOMA-Leaf-3B,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
SF-SOMA-Leaf-3B,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
SF-SOMA-Leaf-3B,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
SF-SOMA-Leaf-3B,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
SF-SOMA-Leaf-3B,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
SF-SOMA-Leaf-3B,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
SF-SOMA-Leaf-3B,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
SF-SOMA-Leaf-3B,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
SF-SOMA-Leaf-3B,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
SF-SOMA-Leaf-3B,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:37:19 SF-SOMA-Leaf-3B ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1429) -- Master ProcMgr (PID=1429) exiting.
 Dec 18 12:37:19 SF-SOMA-Leaf-3B Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1848) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Dec 18 12:37:19 SF-SOMA-Leaf-3B Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1848))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
SF-SOMA-Leaf-3B,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
SF-SOMA-Leaf-3B,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
SF-SOMA-Leaf-3B,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
SF-SOMA-Leaf-3B,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
SF-SOMA-Leaf-3B,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
SF-SOMA-Leaf-3B,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
SF-SOMA-Leaf-3B,VerifyCoredump,success,,Verifies there are no core dump files.,System
SF-SOMA-Leaf-3B,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
SF-SOMA-Leaf-3B,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
SF-SOMA-Leaf-3B,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
SF-SOMA-Leaf-3B,VerifyNTP,success,,Verifies if NTP is synchronised.,System
SF-SOMA-Leaf-3B,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
SF-SOMA-Leaf-3C,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
SF-SOMA-Leaf-3C,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
SF-SOMA-Leaf-3C,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
SF-SOMA-Leaf-3C,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
SF-SOMA-Leaf-3C,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
SF-SOMA-Leaf-3C,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
SF-SOMA-Leaf-3C,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
SF-SOMA-Leaf-3C,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
SF-SOMA-Leaf-3C,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
SF-SOMA-Leaf-3C,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
SF-SOMA-Leaf-3C,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
SF-SOMA-Leaf-3C,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
SF-SOMA-Leaf-3C,VerifyInterfacesStatus,failure,Interface: Ethernet31 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
SF-SOMA-Leaf-3C,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
SF-SOMA-Leaf-3C,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
SF-SOMA-Leaf-3C,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:37:28 SF-SOMA-Leaf-3C ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1404) -- Master ProcMgr (PID=1404) exiting.
 Dec 18 12:37:28 SF-SOMA-Leaf-3C Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1827) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Dec 18 12:37:28 SF-SOMA-Leaf-3C Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1827))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
SF-SOMA-Leaf-3C,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
SF-SOMA-Leaf-3C,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
SF-SOMA-Leaf-3C,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
SF-SOMA-Leaf-3C,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
SF-SOMA-Leaf-3C,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
SF-SOMA-Leaf-3C,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
SF-SOMA-Leaf-3C,VerifyCoredump,success,,Verifies there are no core dump files.,System
SF-SOMA-Leaf-3C,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
SF-SOMA-Leaf-3C,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
SF-SOMA-Leaf-3C,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
SF-SOMA-Leaf-3C,VerifyNTP,success,,Verifies if NTP is synchronised.,System
SF-SOMA-Leaf-3C,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
SF-SOMA-Leaf-3D,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
SF-SOMA-Leaf-3D,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
SF-SOMA-Leaf-3D,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
SF-SOMA-Leaf-3D,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
SF-SOMA-Leaf-3D,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
SF-SOMA-Leaf-3D,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
